ShipmentID,SPID,PID,GID,Shipdate,Amount,Boxes,Order_Status,Revenue_per_box,Cost_price,Profit,Profit_Margin%,Sales_Person,Team,Product,Category,Country,Region,Cost_per_box,cancelled,,,
S00000304,SP01,P15,G5,01-Nov-24,3300.75,367,Delivered,8.99,-1253.72,4554.47,137.98,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,Australia,APAC,12.41,0,,,
S00000305,SP01,P15,G5,28-Jan-25,2837.25,203,Shipped,13.98,318.02,2519.23,88.79,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,Australia,APAC,12.41,0,,,
S00000311,SP01,P11,G1,28-Dec-23,5712.75,440,Delivered,12.98,1211.55,4501.2,78.79,Ramalingam Kothapeta,Yummies,After Nines,Bites,India,APAC,10.23,0,,,
S00000320,SP01,P11,G5,13-Dec-24,4767.75,530,Delivered,9,-654.15,5421.9,113.72,Ramalingam Kothapeta,Yummies,After Nines,Bites,Australia,APAC,10.23,0,,,
S00000329,SP01,P11,G4,27-Feb-23,1912.5,213,Delivered,8.98,-266.49,2178.99,113.93,Ramalingam Kothapeta,Yummies,After Nines,Bites,New Zealand,APAC,10.23,0,,,
S00000332,SP01,P11,G5,09-Jan-23,6768,564,Delivered,12,998.28,5769.72,85.25,Ramalingam Kothapeta,Yummies,After Nines,Bites,Australia,APAC,10.23,0,,,
S00000336,SP01,P11,G1,14-Mar-24,416.25,60,Delivered,6.94,-197.55,613.8,147.46,Ramalingam Kothapeta,Yummies,After Nines,Bites,India,APAC,10.23,0,,,
S00000337,SP01,P11,G1,08-Oct-24,5256,405,Delivered,12.98,1112.85,4143.15,78.83,Ramalingam Kothapeta,Yummies,After Nines,Bites,India,APAC,10.23,0,,,
S00000340,SP01,P11,G2,25-Jan-24,3685.5,410,Delivered,8.99,-508.8,4194.3,113.81,Ramalingam Kothapeta,Yummies,After Nines,Bites,USA,Americas,10.23,0,,,
S00000349,SP01,P11,G6,16-Oct-23,1554.75,130,Delivered,11.96,224.85,1329.9,85.54,Ramalingam Kothapeta,Yummies,After Nines,Bites,UK,Europe,10.23,0,,,
S00000354,SP01,P11,G2,10-Mar-25,1512,216,Placed,7,-697.68,2209.68,146.14,Ramalingam Kothapeta,Yummies,After Nines,Bites,USA,Americas,10.23,0,,,
S00000359,SP01,P11,G4,18-Oct-24,1260,105,Delivered,12,185.85,1074.15,85.25,Ramalingam Kothapeta,Yummies,After Nines,Bites,New Zealand,APAC,10.23,0,,,
S00000362,SP01,P11,G5,18-Mar-24,1858.5,207,Delivered,8.98,-259.11,2117.61,113.94,Ramalingam Kothapeta,Yummies,After Nines,Bites,Australia,APAC,10.23,0,,,
S00000377,SP01,P10,G6,10-Apr-24,2756.25,154,Delivered,17.9,1490.37,1265.88,45.93,Ramalingam Kothapeta,Yummies,Spicy Special Slims,Bites,UK,Europe,8.22,0,,,
S00000383,SP01,P10,G2,24-May-23,5935.5,330,Delivered,17.99,3222.9,2712.6,45.7,Ramalingam Kothapeta,Yummies,Spicy Special Slims,Bites,USA,Americas,8.22,0,,,
S00000390,SP01,P10,G5,21-Feb-23,4207.5,301,Delivered,13.98,1733.28,2474.22,58.8,Ramalingam Kothapeta,Yummies,Spicy Special Slims,Bites,Australia,APAC,8.22,0,,,
S00000400,SP01,P10,G4,17-Jun-24,2709,151,Delivered,17.94,1467.78,1241.22,45.82,Ramalingam Kothapeta,Yummies,Spicy Special Slims,Bites,New Zealand,APAC,8.22,0,,,
S00000401,SP01,P10,G4,19-Sep-24,5791.5,446,Delivered,12.99,2125.38,3666.12,63.3,Ramalingam Kothapeta,Yummies,Spicy Special Slims,Bites,New Zealand,APAC,8.22,0,,,
S00000402,SP01,P10,G5,26-Dec-23,8721,513,Delivered,17,4504.14,4216.86,48.35,Ramalingam Kothapeta,Yummies,Spicy Special Slims,Bites,Australia,APAC,8.22,0,,,
S00000403,SP01,P10,G5,20-Feb-25,6894,575,Shipped,11.99,2167.5,4726.5,68.56,Ramalingam Kothapeta,Yummies,Spicy Special Slims,Bites,Australia,APAC,8.22,0,,,
S00000407,SP01,P04,G1,27-Jun-24,5658.75,247,Cancelled,22.91,4707.8,950.95,16.8,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,India,APAC,3.85,1,,,
S00000417,SP01,P04,G5,24-Feb-25,2900.25,101,Shipped,28.72,2511.4,388.85,13.41,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,Australia,APAC,3.85,0,,,
S00000422,SP01,P04,G1,17-Oct-23,3755.25,157,Delivered,23.92,3150.8,604.45,16.1,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,India,APAC,3.85,0,,,
S00000429,SP01,P04,G4,05-Sep-23,13045.5,484,Delivered,26.95,11182.1,1863.4,14.28,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,New Zealand,APAC,3.85,0,,,
S00000435,SP01,P04,G1,06-Jan-23,7260.75,269,Delivered,26.99,6225.1,1035.65,14.26,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,India,APAC,3.85,0,,,
S00000437,SP01,P04,G1,29-Oct-24,15813,659,Delivered,24,13275.85,2537.15,16.04,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,India,APAC,3.85,0,,,
S00000438,SP01,P04,G2,23-Oct-23,4113,165,Delivered,24.93,3477.75,635.25,15.44,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,USA,Americas,3.85,0,,,
S00000439,SP01,P04,G2,22-Feb-23,11389.5,439,Delivered,25.94,9699.35,1690.15,14.84,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,USA,Americas,3.85,0,,,
S00000444,SP01,P04,G5,27-Dec-23,6174,238,Delivered,25.94,5257.7,916.3,14.84,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,Australia,APAC,3.85,0,,,
S00000448,SP01,P04,G1,25-Dec-24,7130.25,265,Delivered,26.91,6110,1020.25,14.31,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,India,APAC,3.85,0,,,
S00000467,SP01,P16,G2,18-Dec-24,9560.25,456,Delivered,20.97,5196.33,4363.92,45.65,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,USA,Americas,9.57,0,,,
S00000485,SP01,P16,G4,30-Oct-24,10226.25,394,Delivered,25.95,6455.67,3770.58,36.87,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,New Zealand,APAC,9.57,0,,,
S00000488,SP01,P16,G5,28-Feb-23,17037,656,Delivered,25.97,10759.08,6277.92,36.85,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,Australia,APAC,9.57,0,,,
S00000504,SP01,P16,G1,24-Oct-23,3933,197,Delivered,19.96,2047.71,1885.29,47.94,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,India,APAC,9.57,0,,,
S00000505,SP01,P16,G1,16-Dec-24,10608.75,409,Delivered,25.94,6694.62,3914.13,36.9,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,India,APAC,9.57,0,,,
S00000506,SP01,P16,G1,14-Dec-23,3843,175,Delivered,21.96,2168.25,1674.75,43.58,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,India,APAC,9.57,0,,,
S00000511,SP01,P16,G4,16-Oct-23,5442.75,210,Delivered,25.92,3433.05,2009.7,36.92,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,New Zealand,APAC,9.57,0,,,
S00000519,SP01,P16,G1,04-Jul-24,5348.25,268,Delivered,19.96,2783.49,2564.76,47.96,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,India,APAC,9.57,0,,,
S00000528,SP01,P16,G5,18-Sep-23,4864.5,212,Delivered,22.95,2835.66,2028.84,41.71,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,Australia,APAC,9.57,0,,,
S00000539,SP01,P16,G4,25-Aug-23,2515.5,94,Delivered,26.76,1615.92,899.58,35.76,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,New Zealand,APAC,9.57,0,,,
S00000590,SP01,P21,G1,13-Feb-24,497.25,32,Delivered,15.54,391.01,106.24,21.37,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,India,APAC,3.32,0,,,
S00000591,SP01,P21,G1,10-Dec-24,4830.75,211,Delivered,22.89,4130.23,700.52,14.5,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,India,APAC,3.32,0,,,
S00000601,SP01,P21,G6,29-Sep-23,1428.75,76,Delivered,18.8,1176.43,252.32,17.66,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,UK,Europe,3.32,0,,,
S00000603,SP01,P21,G1,05-Apr-23,9200.25,576,Delivered,15.97,7287.93,1912.32,20.79,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,India,APAC,3.32,0,,,
S00000604,SP01,P21,G1,14-Jan-25,8982,450,Cancelled,19.96,7488,1494,16.63,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,India,APAC,3.32,1,,,
S00000605,SP01,P21,G1,07-Mar-25,10374.75,495,Placed,20.96,8731.35,1643.4,15.84,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,India,APAC,3.32,0,,,
S00000609,SP01,P21,G4,08-Nov-23,3656.25,159,Delivered,23,3128.37,527.88,14.44,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,New Zealand,APAC,3.32,0,,,
S00000612,SP01,P21,G5,25-Mar-25,5987.25,375,Placed,15.97,4742.25,1245,20.79,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,Australia,APAC,3.32,0,,,
S00000614,SP01,P21,G5,22-May-23,4983.75,250,Delivered,19.94,4153.75,830,16.65,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,Australia,APAC,3.32,0,,,
S00000617,SP01,P21,G1,30-Jul-24,3141,150,Cancelled,20.94,2643,498,15.85,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,India,APAC,3.32,1,,,
S00000620,SP01,P21,G2,18-Nov-24,8300.25,378,Delivered,21.96,7045.29,1254.96,15.12,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,USA,Americas,3.32,0,,,
S00000625,SP01,P21,G4,18-Oct-24,481.5,29,Delivered,16.6,385.22,96.28,20,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,New Zealand,APAC,3.32,0,,,
S00000639,SP01,P05,G4,27-Mar-23,3478.5,134,Delivered,25.96,2712.02,766.48,22.03,Ramalingam Kothapeta,Yummies,Mint Chip Choco,Bars,New Zealand,APAC,5.72,0,,,
S00000663,SP01,P05,G2,04-Jan-24,11234.25,469,Delivered,23.95,8551.57,2682.68,23.88,Ramalingam Kothapeta,Yummies,Mint Chip Choco,Bars,USA,Americas,5.72,0,,,
S00000672,SP01,P05,G1,06-Dec-24,3982.5,182,Delivered,21.88,2941.46,1041.04,26.14,Ramalingam Kothapeta,Yummies,Mint Chip Choco,Bars,India,APAC,5.72,0,,,
S00000679,SP01,P05,G4,16-Feb-23,5505.75,221,Delivered,24.91,4241.63,1264.12,22.96,Ramalingam Kothapeta,Yummies,Mint Chip Choco,Bars,New Zealand,APAC,5.72,0,,,
S00000681,SP01,P05,G4,13-Nov-24,5051.25,211,Delivered,23.94,3844.33,1206.92,23.89,Ramalingam Kothapeta,Yummies,Mint Chip Choco,Bars,New Zealand,APAC,5.72,0,,,
S00000694,SP01,P12,G4,03-Apr-24,3735,156,Delivered,23.94,2995.56,739.44,19.8,Ramalingam Kothapeta,Yummies,Fruit & Nut Bars,Bars,New Zealand,APAC,4.74,0,,,
S00000710,SP01,P12,G5,12-Sep-24,3798,211,Cancelled,18,2797.86,1000.14,26.33,Ramalingam Kothapeta,Yummies,Fruit & Nut Bars,Bars,Australia,APAC,4.74,1,,,
S00000711,SP01,P12,G5,20-Feb-25,7209,401,Shipped,17.98,5308.26,1900.74,26.37,Ramalingam Kothapeta,Yummies,Fruit & Nut Bars,Bars,Australia,APAC,4.74,0,,,
S00000715,SP01,P12,G1,05-Dec-23,7157.25,377,Cancelled,18.98,5370.27,1786.98,24.97,Ramalingam Kothapeta,Yummies,Fruit & Nut Bars,Bars,India,APAC,4.74,1,,,
S00000716,SP01,P12,G1,02-May-24,8244,393,Delivered,20.98,6381.18,1862.82,22.6,Ramalingam Kothapeta,Yummies,Fruit & Nut Bars,Bars,India,APAC,4.74,0,,,
S00000720,SP01,P12,G3,18-Oct-23,2790,122,Delivered,22.87,2211.72,578.28,20.73,Ramalingam Kothapeta,Yummies,Fruit & Nut Bars,Bars,Canada,Americas,4.74,0,,,
S00000730,SP01,P03,G1,24-Jul-24,8878.5,387,Delivered,22.94,6885.45,1993.05,22.45,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,India,APAC,5.15,0,,,
S00000732,SP01,P03,G2,04-Sep-24,459,20,Delivered,22.95,356,103,22.44,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,USA,Americas,5.15,0,,,
S00000737,SP01,P03,G4,20-Jan-23,6309,275,Delivered,22.94,4892.75,1416.25,22.45,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,New Zealand,APAC,5.15,0,,,
S00000742,SP01,P03,G1,05-Mar-25,6378.75,319,Placed,20,4735.9,1642.85,25.76,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,India,APAC,5.15,0,,,
S00000744,SP01,P03,G1,26-Sep-24,5798.25,306,Delivered,18.95,4222.35,1575.9,27.18,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,India,APAC,5.15,0,,,
S00000746,SP01,P03,G2,21-Nov-24,2461.5,137,Delivered,17.97,1755.95,705.55,28.66,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,USA,Americas,5.15,0,,,
S00000755,SP01,P03,G6,02-Jul-24,3172.5,167,Delivered,19,2312.45,860.05,27.11,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,UK,Europe,5.15,0,,,
S00000760,SP01,P03,G2,27-Sep-24,2301.75,105,Cancelled,21.92,1761,540.75,23.49,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,USA,Americas,5.15,1,,,
S00000766,SP01,P03,G5,03-Jul-24,6655.5,303,Delivered,21.97,5095.05,1560.45,23.45,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,Australia,APAC,5.15,0,,,
S00000770,SP01,P03,G1,06-Aug-24,5168.25,216,Delivered,23.93,4055.85,1112.4,21.52,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,India,APAC,5.15,0,,,
S00000773,SP01,P03,G1,08-Oct-24,4466.25,187,Delivered,23.88,3503.2,963.05,21.56,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,India,APAC,5.15,0,,,
S00000780,SP01,P03,G5,22-Sep-23,533.25,30,Delivered,17.78,378.75,154.5,28.97,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,Australia,APAC,5.15,0,,,
S00000783,SP01,P03,G6,20-Nov-24,774,46,Delivered,16.83,537.1,236.9,30.61,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,UK,Europe,5.15,0,,,
S00000796,SP01,P03,G5,28-Jul-23,3852,214,Delivered,18,2749.9,1102.1,28.61,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,Australia,APAC,5.15,0,,,
S00000805,SP01,P03,G4,22-Mar-24,13065.75,688,Delivered,18.99,9522.55,3543.2,27.12,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,New Zealand,APAC,5.15,0,,,
S00000808,SP01,P03,G5,23-Aug-23,3224.25,190,Delivered,16.97,2245.75,978.5,30.35,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,Australia,APAC,5.15,0,,,
S00000810,SP01,P03,G5,01-Apr-24,2043,103,Delivered,19.83,1512.55,530.45,25.96,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,Australia,APAC,5.15,0,,,
S00000815,SP01,P22,G1,16-Oct-23,3521.25,131,Delivered,26.88,3174.1,347.15,9.86,Ramalingam Kothapeta,Yummies,Peanut Butter Cubes,Bites,India,APAC,2.65,0,,,
S00000820,SP01,P22,G4,12-Nov-24,261,11,Delivered,23.73,231.85,29.15,11.17,Ramalingam Kothapeta,Yummies,Peanut Butter Cubes,Bites,New Zealand,APAC,2.65,0,,,
S00000823,SP01,P22,G5,10-Jan-24,2666.25,89,Delivered,29.96,2430.4,235.85,8.85,Ramalingam Kothapeta,Yummies,Peanut Butter Cubes,Bites,Australia,APAC,2.65,0,,,
S00000826,SP01,P22,G1,17-Jul-23,8219.25,329,Delivered,24.98,7347.4,871.85,10.61,Ramalingam Kothapeta,Yummies,Peanut Butter Cubes,Bites,India,APAC,2.65,0,,,
S00000841,SP01,P22,G1,05-May-23,204.75,9,Delivered,22.75,180.9,23.85,11.65,Ramalingam Kothapeta,Yummies,Peanut Butter Cubes,Bites,India,APAC,2.65,0,,,
