ShipmentID,SPID,PID,GID,Shipdate,Amount,Boxes,Order_Status,Revenue_per_box,Profit,Cost_price,Profit_Margin%,Sales_Person,Team,Product,Category,Country,Region,Cost_per_box,cancelled
S00000117,SP01,P06,G2,2024-03-04,4731.75,474,Delivered,9.98,1740.81,2990.94,36.78998256459027,Ramalingam Kothapeta,Yummies,Eclairs,Bites,USA,Americas,6.31,0
S00000121,SP01,P06,G4,2023-09-06,13299.75,1109,Delivered,11.99,6301.96,6997.79,47.384048572341584,Ramalingam Kothapeta,Yummies,Eclairs,Bites,New Zealand,APAC,6.31,0
S00000128,SP01,P06,G1,2024-02-19,931.5,85,Delivered,10.96,395.15,536.35,42.42082662372517,Ramalingam Kothapeta,Yummies,Eclairs,Bites,India,APAC,6.31,0
S00000145,SP01,P06,G2,2024-12-06,1917.0,175,Delivered,10.95,812.75,1104.25,42.39697443922796,Ramalingam Kothapeta,Yummies,Eclairs,Bites,USA,Americas,6.31,0
S00000149,SP01,P06,G4,2023-11-15,16467.75,2059,Delivered,8.0,3475.46,12992.29,21.10464392524783,Ramalingam Kothapeta,Yummies,Eclairs,Bites,New Zealand,APAC,6.31,0
S00000150,SP01,P06,G5,2025-01-28,1377.0,115,Shipped,11.97,651.35,725.65,47.302106027596224,Ramalingam Kothapeta,Yummies,Eclairs,Bites,Australia,APAC,6.31,0
S00000151,SP01,P06,G5,2023-02-22,1849.5,265,Delivered,6.98,177.35,1672.15,9.589078129224115,Ramalingam Kothapeta,Yummies,Eclairs,Bites,Australia,APAC,6.31,0
S00000152,SP01,P06,G5,2025-01-17,1593.0,200,Shipped,7.97,331.0,1262.0,20.778405524168235,Ramalingam Kothapeta,Yummies,Eclairs,Bites,Australia,APAC,6.31,0
S00000156,SP01,P06,G1,2023-02-20,2310.75,178,Delivered,12.98,1187.57,1123.18,51.393270583144,Ramalingam Kothapeta,Yummies,Eclairs,Bites,India,APAC,6.31,0
S00000161,SP01,P06,G4,2023-01-18,7980.75,726,Delivered,10.99,3399.69,4581.06,42.59862794850108,Ramalingam Kothapeta,Yummies,Eclairs,Bites,New Zealand,APAC,6.31,0
S00000162,SP01,P06,G4,2023-12-01,7800.75,710,Delivered,10.99,3320.65,4480.1,42.56834278755248,Ramalingam Kothapeta,Yummies,Eclairs,Bites,New Zealand,APAC,6.31,0
S00000175,SP01,P19,G4,2023-07-14,33.75,2,Delivered,16.88,23.67,10.08,70.13333333333334,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,New Zealand,APAC,5.04,0
S00000179,SP01,P19,G5,2024-06-14,3066.75,162,Delivered,18.93,2250.27,816.48,73.37637564196625,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,Australia,APAC,5.04,0
S00000188,SP01,P19,G3,2023-07-25,5917.5,296,Delivered,19.99,4425.66,1491.84,74.7893536121673,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,Canada,Americas,5.04,0
S00000189,SP01,P19,G4,2024-10-01,1827.0,84,Delivered,21.75,1403.64,423.36,76.82758620689656,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,New Zealand,APAC,5.04,0
S00000190,SP01,P19,G4,2023-02-16,6570.0,299,Delivered,21.97,5063.04,1506.96,77.06301369863013,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,New Zealand,APAC,5.04,0
S00000209,SP01,P19,G6,2024-10-23,3161.25,132,Cancelled,23.95,2495.97,665.28,78.95516014234875,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,UK,Europe,5.04,1
S00000211,SP01,P19,G1,2023-12-01,9459.0,473,Delivered,20.0,7075.08,2383.92,74.79733587059943,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,India,APAC,5.04,0
S00000217,SP01,P19,G4,2024-06-11,16839.0,733,Delivered,22.97,13144.68,3694.32,78.06092998396579,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,New Zealand,APAC,5.04,0
S00000226,SP01,P19,G1,2023-05-08,6050.25,276,Delivered,21.92,4659.21,1391.04,77.0085533655634,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,India,APAC,5.04,0
S00000227,SP01,P19,G1,2023-12-05,1599.75,64,Delivered,25.0,1277.19,322.56,79.83684950773558,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,India,APAC,5.04,0
S00000231,SP01,P19,G4,2024-07-26,3215.25,170,Delivered,18.91,2358.45,856.8,73.35199440167949,Ramalingam Kothapeta,Yummies,70% Dark Bites,Bites,New Zealand,APAC,5.04,0
S00000238,SP01,P15,G1,2023-10-31,3755.25,269,Delivered,13.96,416.96,3338.29,11.1033885893083,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,India,APAC,12.41,0
S00000239,SP01,P15,G1,2023-06-29,4882.5,376,Delivered,12.99,216.34,4666.16,4.430926779313876,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,India,APAC,12.41,0
S00000247,SP01,P15,G4,2025-03-24,4578.75,382,Placed,11.99,-161.87,4740.62,-3.5352443352443355,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,New Zealand,APAC,12.41,0
S00000252,SP01,P15,G1,2024-05-14,371.25,38,Delivered,9.77,-100.33,471.58,-27.024915824915823,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,India,APAC,12.41,0
S00000256,SP01,P15,G2,2025-02-10,3921.75,246,Shipped,15.94,868.89,3052.86,22.155670300248616,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,USA,Americas,12.41,0
S00000266,SP01,P15,G1,2024-02-01,2281.5,176,Delivered,12.96,97.34,2184.16,4.266491343414421,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,India,APAC,12.41,0
S00000267,SP01,P15,G1,2023-09-11,4191.75,350,Delivered,11.98,-151.75,4343.5,-3.6202063577264867,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,India,APAC,12.41,0
S00000272,SP01,P15,G3,2023-03-10,9229.5,616,Delivered,14.98,1584.94,7644.56,17.172544558210088,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,Canada,Americas,12.41,0
S00000278,SP01,P15,G5,2025-01-14,5004.0,417,Shipped,12.0,-170.97,5174.97,-3.4166666666666665,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,Australia,APAC,12.41,0
S00000279,SP01,P15,G6,2025-03-24,8525.25,711,Placed,11.99,-298.26,8823.51,-3.498548429664819,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,UK,Europe,12.41,0
S00000285,SP01,P15,G2,2023-11-29,2920.5,293,Delivered,9.97,-715.63,3636.13,-24.503680876562232,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,USA,Americas,12.41,0
S00000288,SP01,P15,G4,2023-06-19,2085.75,131,Delivered,15.92,460.04,1625.71,22.05633465180391,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,New Zealand,APAC,12.41,0
S00000290,SP01,P15,G5,2024-01-22,8597.25,538,Delivered,15.98,1920.67,6676.58,22.340515862630493,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,Australia,APAC,12.41,0
S00000292,SP01,P15,G5,2024-12-11,387.0,33,Delivered,11.73,-22.53,409.53,-5.82170542635659,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,Australia,APAC,12.41,0
S00000304,SP01,P15,G5,2024-11-01,3300.75,367,Delivered,8.99,-1253.72,4554.47,-37.9828826781792,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,Australia,APAC,12.41,0
S00000305,SP01,P15,G5,2025-01-28,2837.25,203,Shipped,13.98,318.02,2519.23,11.208740858225394,Ramalingam Kothapeta,Yummies,Baker's Choco Chips,Bars,Australia,APAC,12.41,0
S00000311,SP01,P11,G1,2023-12-28,5712.75,440,Delivered,12.98,1211.55,4501.2,21.20782460286202,Ramalingam Kothapeta,Yummies,After Nines,Bites,India,APAC,10.23,0
S00000320,SP01,P11,G5,2024-12-13,4767.75,530,Delivered,9.0,-654.15,5421.9,-13.720308321535315,Ramalingam Kothapeta,Yummies,After Nines,Bites,Australia,APAC,10.23,0
S00000329,SP01,P11,G4,2023-02-27,1912.5,213,Delivered,8.98,-266.49,2178.99,-13.934117647058825,Ramalingam Kothapeta,Yummies,After Nines,Bites,New Zealand,APAC,10.23,0
S00000332,SP01,P11,G5,2023-01-09,6768.0,564,Delivered,12.0,998.28,5769.72,14.75,Ramalingam Kothapeta,Yummies,After Nines,Bites,Australia,APAC,10.23,0
S00000336,SP01,P11,G1,2024-03-14,416.25,60,Delivered,6.94,-197.55,613.8,-47.45945945945947,Ramalingam Kothapeta,Yummies,After Nines,Bites,India,APAC,10.23,0
S00000337,SP01,P11,G1,2024-10-08,5256.0,405,Delivered,12.98,1112.85,4143.15,21.17294520547945,Ramalingam Kothapeta,Yummies,After Nines,Bites,India,APAC,10.23,0
S00000340,SP01,P11,G2,2024-01-25,3685.5,410,Delivered,8.99,-508.8,4194.3,-13.805453805453805,Ramalingam Kothapeta,Yummies,After Nines,Bites,USA,Americas,10.23,0
S00000349,SP01,P11,G6,2023-10-16,1554.75,130,Delivered,11.96,224.85,1329.9,14.46213217559093,Ramalingam Kothapeta,Yummies,After Nines,Bites,UK,Europe,10.23,0
S00000354,SP01,P11,G2,2025-03-10,1512.0,216,Placed,7.0,-697.68,2209.68,-46.14285714285714,Ramalingam Kothapeta,Yummies,After Nines,Bites,USA,Americas,10.23,0
S00000359,SP01,P11,G4,2024-10-18,1260.0,105,Delivered,12.0,185.85,1074.15,14.75,Ramalingam Kothapeta,Yummies,After Nines,Bites,New Zealand,APAC,10.23,0
S00000362,SP01,P11,G5,2024-03-18,1858.5,207,Delivered,8.98,-259.11,2117.61,-13.941888619854723,Ramalingam Kothapeta,Yummies,After Nines,Bites,Australia,APAC,10.23,0
S00000377,SP01,P10,G6,2024-04-10,2756.25,154,Delivered,17.9,1490.37,1265.88,54.072380952380946,Ramalingam Kothapeta,Yummies,Spicy Special Slims,Bites,UK,Europe,8.22,0
S00000383,SP01,P10,G2,2023-05-24,5935.5,330,Delivered,17.99,3222.9,2712.6,54.298711144806674,Ramalingam Kothapeta,Yummies,Spicy Special Slims,Bites,USA,Americas,8.22,0
S00000390,SP01,P10,G5,2023-02-21,4207.5,301,Delivered,13.98,1733.28,2474.22,41.19500891265597,Ramalingam Kothapeta,Yummies,Spicy Special Slims,Bites,Australia,APAC,8.22,0
S00000400,SP01,P10,G4,2024-06-17,2709.0,151,Delivered,17.94,1467.78,1241.22,54.181616832779625,Ramalingam Kothapeta,Yummies,Spicy Special Slims,Bites,New Zealand,APAC,8.22,0
S00000401,SP01,P10,G4,2024-09-19,5791.5,446,Delivered,12.99,2125.38,3666.12,36.6982646982647,Ramalingam Kothapeta,Yummies,Spicy Special Slims,Bites,New Zealand,APAC,8.22,0
S00000402,SP01,P10,G5,2023-12-26,8721.0,513,Delivered,17.0,4504.14,4216.86,51.64705882352941,Ramalingam Kothapeta,Yummies,Spicy Special Slims,Bites,Australia,APAC,8.22,0
S00000403,SP01,P10,G5,2025-02-20,6894.0,575,Shipped,11.99,2167.5,4726.5,31.440382941688426,Ramalingam Kothapeta,Yummies,Spicy Special Slims,Bites,Australia,APAC,8.22,0
S00000407,SP01,P04,G1,2024-06-27,5658.75,247,Cancelled,22.91,4707.8,950.95,83.19505191075768,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,India,APAC,3.85,1
S00000417,SP01,P04,G5,2025-02-24,2900.25,101,Shipped,28.72,2511.4,388.85,86.59253512628223,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,Australia,APAC,3.85,0
S00000422,SP01,P04,G1,2023-10-17,3755.25,157,Delivered,23.92,3150.8,604.45,83.90386791824778,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,India,APAC,3.85,0
S00000429,SP01,P04,G4,2023-09-05,13045.5,484,Delivered,26.95,11182.1,1863.4,85.71614733049711,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,New Zealand,APAC,3.85,0
S00000435,SP01,P04,G1,2023-01-06,7260.75,269,Delivered,26.99,6225.1,1035.65,85.73632200530248,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,India,APAC,3.85,0
S00000437,SP01,P04,G1,2024-10-29,15813.0,659,Delivered,24.0,13275.85,2537.15,83.95528995130589,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,India,APAC,3.85,0
S00000438,SP01,P04,G2,2023-10-23,4113.0,165,Delivered,24.93,3477.75,635.25,84.55506929248725,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,USA,Americas,3.85,0
S00000439,SP01,P04,G2,2023-02-22,11389.5,439,Delivered,25.94,9699.35,1690.15,85.16045480486413,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,USA,Americas,3.85,0
S00000444,SP01,P04,G5,2023-12-27,6174.0,238,Delivered,25.94,5257.7,916.3,85.15873015873015,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,Australia,APAC,3.85,0
S00000448,SP01,P04,G1,2024-12-25,7130.25,265,Delivered,26.91,6110.0,1020.25,85.69124504750886,Ramalingam Kothapeta,Yummies,Raspberry Choco,Bars,India,APAC,3.85,0
S00000467,SP01,P16,G2,2024-12-18,9560.25,456,Delivered,20.97,5196.33,4363.92,54.35349493998588,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,USA,Americas,9.57,0
S00000485,SP01,P16,G4,2024-10-30,10226.25,394,Delivered,25.95,6455.67,3770.58,63.128419508617526,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,New Zealand,APAC,9.57,0
S00000488,SP01,P16,G5,2023-02-28,17037.0,656,Delivered,25.97,10759.08,6277.92,63.15125902447613,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,Australia,APAC,9.57,0
S00000504,SP01,P16,G1,2023-10-24,3933.0,197,Delivered,19.96,2047.71,1885.29,52.064836003051106,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,India,APAC,9.57,0
S00000505,SP01,P16,G1,2024-12-16,10608.75,409,Delivered,25.94,6694.62,3914.13,63.104701307882635,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,India,APAC,9.57,0
S00000506,SP01,P16,G1,2023-12-14,3843.0,175,Delivered,21.96,2168.25,1674.75,56.4207650273224,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,India,APAC,9.57,0
S00000511,SP01,P16,G4,2023-10-16,5442.75,210,Delivered,25.92,3433.05,2009.7,63.07565109549401,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,New Zealand,APAC,9.57,0
S00000519,SP01,P16,G1,2024-07-04,5348.25,268,Delivered,19.96,2783.49,2564.76,52.044874491656145,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,India,APAC,9.57,0
S00000528,SP01,P16,G5,2023-09-18,4864.5,212,Delivered,22.95,2835.66,2028.84,58.29293863706444,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,Australia,APAC,9.57,0
S00000539,SP01,P16,G4,2023-08-25,2515.5,94,Delivered,26.76,1615.92,899.58,64.23852116875372,Ramalingam Kothapeta,Yummies,Organic Choco Syrup,Other,New Zealand,APAC,9.57,0
S00000590,SP01,P21,G1,2024-02-13,497.25,32,Delivered,15.54,391.01,106.24,78.63448969331323,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,India,APAC,3.32,0
S00000591,SP01,P21,G1,2024-12-10,4830.75,211,Delivered,22.89,4130.23,700.52,85.4987320809398,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,India,APAC,3.32,0
S00000601,SP01,P21,G6,2023-09-29,1428.75,76,Delivered,18.8,1176.43,252.32,82.3398075240595,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,UK,Europe,3.32,0
S00000603,SP01,P21,G1,2023-04-05,9200.25,576,Delivered,15.97,7287.93,1912.32,79.21447786744926,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,India,APAC,3.32,0
S00000604,SP01,P21,G1,2025-01-14,8982.0,450,Cancelled,19.96,7488.0,1494.0,83.36673346693387,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,India,APAC,3.32,1
S00000605,SP01,P21,G1,2025-03-07,10374.75,495,Placed,20.96,8731.35,1643.4,84.15961830405553,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,India,APAC,3.32,0
S00000609,SP01,P21,G4,2023-11-08,3656.25,159,Delivered,23.0,3128.37,527.88,85.56225641025641,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,New Zealand,APAC,3.32,0
S00000612,SP01,P21,G5,2025-03-25,5987.25,375,Placed,15.97,4742.25,1245.0,79.2058123512464,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,Australia,APAC,3.32,0
S00000614,SP01,P21,G5,2023-05-22,4983.75,250,Delivered,19.94,4153.75,830.0,83.34587409079508,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,Australia,APAC,3.32,0
S00000617,SP01,P21,G1,2024-07-30,3141.0,150,Cancelled,20.94,2643.0,498.0,84.14517669531996,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,India,APAC,3.32,1
S00000620,SP01,P21,G2,2024-11-18,8300.25,378,Delivered,21.96,7045.29,1254.96,84.88045540796963,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,USA,Americas,3.32,0
S00000625,SP01,P21,G4,2024-10-18,481.5,29,Delivered,16.6,385.22,96.28,80.00415368639668,Ramalingam Kothapeta,Yummies,Choco Coated Almonds,Bites,New Zealand,APAC,3.32,0
S00000639,SP01,P05,G4,2023-03-27,3478.5,134,Delivered,25.96,2712.02,766.48,77.96521489147621,Ramalingam Kothapeta,Yummies,Mint Chip Choco,Bars,New Zealand,APAC,5.72,0
S00000663,SP01,P05,G2,2024-01-04,11234.25,469,Delivered,23.95,8551.57,2682.68,76.12052428956095,Ramalingam Kothapeta,Yummies,Mint Chip Choco,Bars,USA,Americas,5.72,0
S00000672,SP01,P05,G1,2024-12-06,3982.5,182,Delivered,21.88,2941.46,1041.04,73.85963590709353,Ramalingam Kothapeta,Yummies,Mint Chip Choco,Bars,India,APAC,5.72,0
S00000679,SP01,P05,G4,2023-02-16,5505.75,221,Delivered,24.91,4241.63,1264.12,77.04000363256596,Ramalingam Kothapeta,Yummies,Mint Chip Choco,Bars,New Zealand,APAC,5.72,0
S00000681,SP01,P05,G4,2024-11-13,5051.25,211,Delivered,23.94,3844.33,1206.92,76.10650829002722,Ramalingam Kothapeta,Yummies,Mint Chip Choco,Bars,New Zealand,APAC,5.72,0
S00000694,SP01,P12,G4,2024-04-03,3735.0,156,Delivered,23.94,2995.56,739.44,80.20240963855422,Ramalingam Kothapeta,Yummies,Fruit & Nut Bars,Bars,New Zealand,APAC,4.74,0
S00000710,SP01,P12,G5,2024-09-12,3798.0,211,Cancelled,18.0,2797.86,1000.14,73.66666666666667,Ramalingam Kothapeta,Yummies,Fruit & Nut Bars,Bars,Australia,APAC,4.74,1
S00000711,SP01,P12,G5,2025-02-20,7209.0,401,Shipped,17.98,5308.26,1900.74,73.63379109446525,Ramalingam Kothapeta,Yummies,Fruit & Nut Bars,Bars,Australia,APAC,4.74,0
S00000715,SP01,P12,G1,2023-12-05,7157.25,377,Cancelled,18.98,5370.27,1786.98,75.03258933249502,Ramalingam Kothapeta,Yummies,Fruit & Nut Bars,Bars,India,APAC,4.74,1
S00000716,SP01,P12,G1,2024-05-02,8244.0,393,Delivered,20.98,6381.18,1862.82,77.40393013100437,Ramalingam Kothapeta,Yummies,Fruit & Nut Bars,Bars,India,APAC,4.74,0
S00000720,SP01,P12,G3,2023-10-18,2790.0,122,Delivered,22.87,2211.72,578.28,79.27311827956989,Ramalingam Kothapeta,Yummies,Fruit & Nut Bars,Bars,Canada,Americas,4.74,0
S00000730,SP01,P03,G1,2024-07-24,8878.5,387,Delivered,22.94,6885.45,1993.05,77.55195134313229,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,India,APAC,5.15,0
S00000732,SP01,P03,G2,2024-09-04,459.0,20,Delivered,22.95,356.0,103.0,77.5599128540305,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,USA,Americas,5.15,0
S00000737,SP01,P03,G4,2023-01-20,6309.0,275,Delivered,22.94,4892.75,1416.25,77.55190996988429,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,New Zealand,APAC,5.15,0
S00000742,SP01,P03,G1,2025-03-05,6378.75,319,Placed,20.0,4735.9,1642.85,74.24495394865764,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,India,APAC,5.15,0
S00000744,SP01,P03,G1,2024-09-26,5798.25,306,Delivered,18.95,4222.35,1575.9,72.8211098176174,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,India,APAC,5.15,0
S00000746,SP01,P03,G2,2024-11-21,2461.5,137,Delivered,17.97,1755.95,705.55,71.33658338411539,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,USA,Americas,5.15,0
S00000755,SP01,P03,G6,2024-07-02,3172.5,167,Delivered,19.0,2312.45,860.05,72.89046493301812,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,UK,Europe,5.15,0
S00000760,SP01,P03,G2,2024-09-27,2301.75,105,Cancelled,21.92,1761.0,540.75,76.5070055392636,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,USA,Americas,5.15,1
S00000766,SP01,P03,G5,2024-07-03,6655.5,303,Delivered,21.97,5095.05,1560.45,76.55397791300429,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,Australia,APAC,5.15,0
S00000770,SP01,P03,G1,2024-08-06,5168.25,216,Delivered,23.93,4055.85,1112.4,78.47627340008707,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,India,APAC,5.15,0
S00000773,SP01,P03,G1,2024-10-08,4466.25,187,Delivered,23.88,3503.2,963.05,78.43716764623565,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,India,APAC,5.15,0
S00000780,SP01,P03,G5,2023-09-22,533.25,30,Delivered,17.78,378.75,154.5,71.0267229254571,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,Australia,APAC,5.15,0
S00000783,SP01,P03,G6,2024-11-20,774.0,46,Delivered,16.83,537.1,236.9,69.39276485788113,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,UK,Europe,5.15,0
S00000796,SP01,P03,G5,2023-07-28,3852.0,214,Delivered,18.0,2749.9,1102.1,71.38888888888889,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,Australia,APAC,5.15,0
S00000805,SP01,P03,G4,2024-03-22,13065.75,688,Delivered,18.99,9522.55,3543.2,72.8817710426114,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,New Zealand,APAC,5.15,0
S00000808,SP01,P03,G5,2023-08-23,3224.25,190,Delivered,16.97,2245.75,978.5,69.65185702101265,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,Australia,APAC,5.15,0
S00000810,SP01,P03,G5,2024-04-01,2043.0,103,Delivered,19.83,1512.55,530.45,74.0357317670093,Ramalingam Kothapeta,Yummies,Almond Choco,Bars,Australia,APAC,5.15,0
S00000815,SP01,P22,G1,2023-10-16,3521.25,131,Delivered,26.88,3174.1,347.15,90.14128505502306,Ramalingam Kothapeta,Yummies,Peanut Butter Cubes,Bites,India,APAC,2.65,0
S00000820,SP01,P22,G4,2024-11-12,261.0,11,Delivered,23.73,231.85,29.15,88.83141762452107,Ramalingam Kothapeta,Yummies,Peanut Butter Cubes,Bites,New Zealand,APAC,2.65,0
S00000823,SP01,P22,G5,2024-01-10,2666.25,89,Delivered,29.96,2430.4,235.85,91.15424285044539,Ramalingam Kothapeta,Yummies,Peanut Butter Cubes,Bites,Australia,APAC,2.65,0
